ID,Slope,Yintercept,Lower Intercept,Upper Intercept,Likelihood,normalized
17099,0.0562959396593842,0.0774723272207474,1.23e+09,1.25e+09,2435.46677851377,10.7764016748397
17100,0.056061767978482,0.0780245197253177,1.23e+09,1.26e+09,2430.50805257483,10.7544604096231
17101,0.0558281303399628,0.0785754529221874,1.23e+09,1.27e+09,2423.40864617697,10.7230471069777
17102,0.0555950282087559,0.0791251233569551,1.23e+09,1.28e+09,2414.24204891847,10.6824869421171
17103,0.055362463035188,0.0796735276096535,1.23e+09,1.29e+09,2403.1007026199,10.6331889496456
17104,0.0551304362549234,0.0802206622948899,1.23e+09,1.3e+09,2390.0939986047,10.5756371619677
17105,0.0548989492889144,0.0807665240619635,1.23e+09,1.31e+09,2375.34612914111,10.5103811023943
17106,0.0546680035433393,0.0813111095950119,1.23e+09,1.32e+09,2358.99383683214,10.4380258266909
17107,0.0544376004095555,0.0818544156131212,1.23e+09,1.33e+09,2341.18410519656,10.3592217044096
17108,0.0542077412640398,0.0823964388704668,1.23e+09,1.34e+09,2322.07183228077,10.2746541251361
17109,0.0539784274683405,0.0829371761564266,1.23e+09,1.35e+09,2301.81752693959,10.1850333050424
17110,0.0537496603690256,0.0834766242957033,1.23e+09,1.36e+09,2280.58506446814,10.0910843560537
17111,0.0535214412976319,0.0840147801484436,1.23e+09,1.37e+09,2258.53953463176,9.99353776385736
17112,0.0532937715706183,0.0845516406103498,1.23e+09,1.38e+09,2235.84521090655,9.89312040224138
17113,0.0530666524893164,0.0850872026127943,1.23e+09,1.39e+09,2212.66366500686,9.79054719029585
17114,0.0528400853398853,0.0856214631229282,1.23e+09,1.4e+09,2189.15204566562,9.68651347639655
17115,0.0526140713932661,0.0861544191437869,1.23e+09,1.41e+09,2165.46153528723,9.58168820923555
17116,0.0523886119051367,0.0866860677143984,1.23e+09,1.42e+09,2141.73599268136,9.47670793221843
17117,0.0521637081158695,0.087216405909881,1.23e+09,1.43e+09,2118.11078479164,9.37217161412231
17118,0.0519393612504898,0.0877454308415433,1.23e+09,1.44e+09,2094.71180535254,9.26863630686966
17119,0.0517155725186335,0.0882731396569826,1.23e+09,1.45e+09,2071.65467394114,9.16661360150945
17120,0.0514923431145085,0.0887995295401766,1.23e+09,1.46e+09,2049.04410512878,9.06656683685301
